	PC3	MCF7	A375	HA1E	HCC515	VCAP	HEPG2	HT29	A549
CPC017_MCF7_6H:BRD-A81177136-001-03-6:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A81177136-001-03-6:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A81177136-001-03-6:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A81177136-001-03-6:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A81177136-001-03-6:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A81177136-001-03-6:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A81177136-001-03-6:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A81177136-001-03-6:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A82590476-001-01-1:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-A82590476-001-01-1:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-A82590476-001-01-1:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A82590476-001-01-1:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A82590476-001-01-1:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A82590476-001-01-1:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-A82590476-001-01-1:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-A82590476-001-01-1:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-A82590476-001-01-1:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K00486786-001-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K00486786-001-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K00486786-001-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K00486786-001-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K00486786-001-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K00486786-001-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K00486786-001-01-4:10	0	0	0	0	0	0	1	0	0
